1,1,33,1,1,68,1,68,1,1,1,1,1,1,1,6,1,1,6,33,33,33,1,1,
1,68,33,68,1,1,1,1,138,2684354697,2684354697,2684354697,2684354697,2684354697,2684354697,2684354697,2684354698,2,2,1,488,102,102,102,
68,6,6,68,1,6,1,1,137,385,355,355,355,355,355,385,137,33,33,1,488,1,1,1,
6,33,68,33,2,1,1,1,137,417,387,360,360,360,387,417,137,1,68,68,488,1,450,1,
68,1,1,68,2,1,1,1,137,417,1,417,326,417,1,417,137,1,33,1,488,1,3,3,
2,2,6,68,33,1,2,1,137,417,1,1,41,1,1,417,137,1,1,1,488,1,449,1,
68,1,68,68,6,1,1,1,137,417,1,1610612781,3221225515,227,1,417,137,6,1,71,488,1,1,1,
68,33,6,6,6,1,1,1,137,417,1,1,43,2684354605,1,417,137,1,1,1,488,1,451,1,
6,6,68,68,1,1,1,1,137,386,355,355,355,355,355,386,137,1,6,1,488,102,488,102,
1,2,2,33,2,33,1,1,137,417,387,417,421,417,387,417,137,1,1,1,1,38,1,1,
1,33,33,33,1,33,1,1,1610612874,2684354697,2684354697,2684354697,197,2684354697,2684354697,2684354697,3221225610,1,1,1,38,1,1,1,
1,33,1,33,2,1,1,68,1,2,1,1,41,1,6,1,1,1,1,1,1,6,358,358,
68,2,33,1,1,1,68,33,355,1,1,1,41,2,1,1,6,359,359,359,1,1,422,293,
68,6,1,1,1,1,1,355,418,417,1,2,41,1,1,6,359,556,417,556,359,1,1,41,
68,1,1,1,1,1,354,417,417,417,369,1,41,1,1,1,417,556,297,556,417,1,1,43,
1,1,68,1,1,1,1,3,1,355,1610612781,2684354601,3221225515,1,1,1,1,1,41,1,2,241,6,41,
6,68,1,1,1,401,1,1,3,417,417,1,41,1,453,1,1,2,1610612778,2684354603,2684354601,2684354601,2684354601,3221225515,
68,6,6,68,1,1,2147484017,417,401,417,417,2147484002,41,1,45,1,1,6,1,41,1,2,1,3221225513,
33,2,2,68,68,1,1,3,3,3,2,1,41,1,41,2,1,1,2,41,1,38,1,3221225513,
2,2,68,68,1,1,1,1,1,1,1,1,1610612778,2684354601,1610612779,2684354601,2684354601,2684354601,2684354603,3221225514,1,1,359,359,
1,33,33,68,33,33,1,1,1,33,1,1,1,1,1,1,38,1,3221225513,1,1,359,417,417,
68,68,33,1,2,1,6,68,6,1,68,1,1,1,1,1,1,6,3221225513,38,1,417,417,293,
68,68,1,33,33,6,1,6,1,1,6,1,33,6,1,1,1,1,3221225513,1,1,1,1,41,
33,33,68,68,2,1,2,2,68,33,6,68,1,1,6,1,1,1,1610612778,2684354601,2684354601,2684354601,2684354601,3221225514
